hugo_symbol,ensembl_gene_id_version,ANNOT
SEPT5,ENSG00000184702,ONCO
SEPT6,ENSG00000125354,ONCO
SEPT9,ENSG00000184640,ONCO
ACSL3,ENSG00000123983,ONCO
ACSL6,ENSG00000164398,ONCO
AFF1,ENSG00000172493,ONCO
AKAP9,ENSG00000127914,ONCO
ALDH2,ENSG00000111275,ONCO
ASPSCR1,ENSG00000169696,ONCO
ATIC,ENSG00000138363,ONCO
BCL7A,ENSG00000282873,ONCO
BCL7A,ENSG00000110987,ONCO
BCR,ENSG00000186716,ONCO
C15orf65,ENSG00000261652,ONCO
CANT1,ENSG00000171302,ONCO
CEP89,ENSG00000121289,ONCO
CHCHD7,ENSG00000170791,ONCO
CHIC2,ENSG00000109220,ONCO
CLIP1,ENSG00000130779,ONCO
CLP1,ENSG00000172409,ONCO
CNTRL,ENSG00000119397,ONCO
COL1A1,ENSG00000108821,ONCO
COL2A1,ENSG00000139219,ONCO
COL3A1,ENSG00000168542,ONCO
COX6C,ENSG00000164919,ONCO
CRTC3,ENSG00000140577,ONCO
DCTN1,ENSG00000204843,ONCO
DNAJB1,ENSG00000132002,ONCO
DUX4L1,ENSG00000280757,ONCO
EIF4A2,ENSG00000156976,ONCO
ELN,ENSG00000049540,ONCO
EML4,ENSG00000143924,ONCO
ERC1,ENSG00000082805,ONCO
EZR,ENSG00000092820,ONCO
FAM131B,ENSG00000159784,ONCO
FGFR1OP,ENSG00000213066,ONCO
FIP1L1,ENSG00000145216,ONCO
FNBP1,ENSG00000187239,ONCO
GAS7,ENSG00000007237,ONCO
GMPS,ENSG00000163655,ONCO
GOLGA5,ENSG00000066455,ONCO
GOPC,ENSG00000047932,ONCO
GPHN,ENSG00000171723,ONCO
HERPUD1,ENSG00000051108,ONCO
HLA-A,ENSG00000229215,ONCO
HLA-A,ENSG00000231834,ONCO
HLA-A,ENSG00000206505,ONCO
HLA-A,ENSG00000227715,ONCO
HLA-A,ENSG00000223980,ONCO
HLA-A,ENSG00000235657,ONCO
HLA-A,ENSG00000224320,ONCO
HLA-A,ENSG00000206503,ONCO
HMGN2P46,ENSG00000179362,ONCO
HOOK3,ENSG00000168172,ONCO
HSP90AA1,ENSG00000080824,ONCO
HSP90AB1,ENSG00000096384,ONCO
IL2,ENSG00000109471,ONCO
IL21R,ENSG00000103522,ONCO
ITK,ENSG00000113263,ONCO
JAZF1,ENSG00000153814,ONCO
KDSR,ENSG00000119537,ONCO
KIAA1549,ENSG00000122778,ONCO
KIF5B,ENSG00000170759,ONCO
KLK2,ENSG00000167751,ONCO
KTN1,ENSG00000126777,ONCO
LASP1,ENSG00000002834,ONCO
LCP1,ENSG00000136167,ONCO
LHFPL6,ENSG00000183722,ONCO
LIFR,ENSG00000113594,ONCO
LMNA,ENSG00000160789,ONCO
LSM14A,ENSG00000262860,ONCO
LSM14A,ENSG00000257103,ONCO
MDS2,ENSG00000197880,ONCO
MLLT1,ENSG00000130382,ONCO
MLLT11,ENSG00000213190,ONCO
MLLT3,ENSG00000171843,ONCO
MLLT6,ENSG00000275851,ONCO
MLLT6,ENSG00000275023,ONCO
MNX1,ENSG00000130675,ONCO
MSN,ENSG00000147065,ONCO
MUC1,ENSG00000185499,ONCO
MYH11,ENSG00000133392,ONCO
MYH11,ENSG00000276480,ONCO
MYO5A,ENSG00000197535,ONCO
NACA,ENSG00000196531,ONCO
NCKIPSD,ENSG00000213672,ONCO
NCOA1,ENSG00000084676,ONCO
NFIB,ENSG00000147862,ONCO
NIN,ENSG00000100503,ONCO
NONO,ENSG00000147140,ONCO
NSD1,ENSG00000165671,ONCO
NUMA1,ENSG00000137497,ONCO
NUP214,ENSG00000126883,ONCO
NUTM2B,ENSG00000188199,ONCO
NUTM2D,ENSG00000214562,ONCO
OMD,ENSG00000127083,ONCO
PAFAH1B2,ENSG00000168092,ONCO
PAX7,ENSG00000009709,ONCO
PAX8,ENSG00000125618,ONCO
PCM1,ENSG00000078674,ONCO
PDE4DIP,ENSG00000178104,ONCO
PICALM,ENSG00000073921,ONCO
PPFIBP1,ENSG00000110841,ONCO
PRCC,ENSG00000143294,ONCO
PRKD1,ENSG00000184304,ONCO
PRRX1,ENSG00000116132,ONCO
PWWP2A,ENSG00000170234,ONCO
RABEP1,ENSG00000029725,ONCO
RALGDS,ENSG00000160271,ONCO
RBM15,ENSG00000162775,ONCO
RNF213,ENSG00000173821,ONCO
RPN1,ENSG00000163902,ONCO
S100A7,ENSG00000143556,ONCO
SDC4,ENSG00000124145,ONCO
SHTN1,ENSG00000187164,ONCO
SLC45A3,ENSG00000158715,ONCO
SNX29,ENSG00000048471,ONCO
SPECC1,ENSG00000128487,ONCO
SRGAP3,ENSG00000196220,ONCO
SS18,ENSG00000141380,ONCO
SS18L1,ENSG00000184402,ONCO
STRN,ENSG00000115808,ONCO
TCEA1,ENSG00000187735,ONCO
TCF12,ENSG00000140262,ONCO
TFG,ENSG00000114354,ONCO
TFPT,ENSG00000105619,ONCO
TFPT,ENSG00000278161,ONCO
TFPT,ENSG00000276323,ONCO
TFPT,ENSG00000276022,ONCO
TFPT,ENSG00000275086,ONCO
TFPT,ENSG00000276263,ONCO
TFPT,ENSG00000276504,ONCO
TFPT,ENSG00000274073,ONCO
TFPT,ENSG00000276296,ONCO
TFPT,ENSG00000273833,ONCO
TFRC,ENSG00000072274,ONCO
THRAP3,ENSG00000054118,ONCO
TMPRSS2,ENSG00000184012,ONCO
TOP1,ENSG00000198900,ONCO
TPM4,ENSG00000167460,ONCO
TPR,ENSG00000047410,ONCO
TRIP11,ENSG00000100815,ONCO
USP9X,ENSG00000124486,ONCO
VAV1,ENSG00000141968,ONCO
WDCP,ENSG00000163026,ONCO
VTI1A,ENSG00000151532,ONCO
ZCCHC8,ENSG00000033030,ONCO
ZMYM2,ENSG00000121741,ONCO
ZNF384,ENSG00000126746,ONCO
CDH10,ENSG00000040731,TSG
CDC73,ENSG00000134371,TSG
CDH1,ENSG00000039068,TSG
AFF3,ENSG00000144218,ONCO
BCL2L12,ENSG00000126453,ONCO
CACNA1D,ENSG00000157388,ONCO
CALR,ENSG00000179218,ONCO
CARD11,ENSG00000198286,ONCO
CCNE1,ENSG00000105173,ONCO
CCR4,ENSG00000183813,ONCO
CCR7,ENSG00000126353,ONCO
CD28,ENSG00000178562,ONCO
CD79A,ENSG00000105369,ONCO
CD79B,ENSG00000007312,ONCO
CDH17,ENSG00000079112,ONCO
CDK4,ENSG00000135446,ONCO
CHD4,ENSG00000111642,ONCO
CSF1R,ENSG00000182578,ONCO
CSF3R,ENSG00000119535,ONCO
CTNNA2,ENSG00000066032,ONCO
CTNND2,ENSG00000169862,ONCO
CXCR4,ENSG00000121966,ONCO
CYSLTR2,ENSG00000152207,ONCO
DDR2,ENSG00000162733,ONCO
DGCR8,ENSG00000128191,ONCO
EGFR,ENSG00000146648,ONCO
ERBB3,ENSG00000065361,ONCO
FGFR4,ENSG00000160867,ONCO
FLT3,ENSG00000122025,ONCO
FLT4,ENSG00000037280,ONCO
FOXA1,ENSG00000129514,ONCO
FUBP1,ENSG00000162613,ONCO
GATA2,ENSG00000179348,ONCO
GNA11,ENSG00000088256,ONCO
GNAQ,ENSG00000156052,ONCO
GNAS,ENSG00000087460,ONCO
GRM3,ENSG00000198822,ONCO
HIF1A,ENSG00000100644,ONCO
HRAS,ENSG00000174775,ONCO
HRAS,ENSG00000276536,ONCO
IDH1,ENSG00000138413,ONCO
IDH2,ENSG00000182054,ONCO
IKBKB,ENSG00000104365,ONCO
IL6ST,ENSG00000134352,ONCO
IL7R,ENSG00000168685,ONCO
JAK3,ENSG00000105639,ONCO
JUN,ENSG00000177606,ONCO
KAT7,ENSG00000136504,ONCO
KCNJ5,ENSG00000120457,ONCO
KDR,ENSG00000128052,ONCO
KIT,ENSG00000157404,ONCO
KNSTRN,ENSG00000128944,ONCO
KRAS,ENSG00000133703,ONCO
MACC1,ENSG00000183742,ONCO
MAP2K1,ENSG00000169032,ONCO
MAP2K2,ENSG00000126934,ONCO
MAPK1,ENSG00000100030,ONCO
MDM2,ENSG00000135679,ONCO
MDM4,ENSG00000198625,ONCO
MET,ENSG00000105976,ONCO
MITF,ENSG00000187098,ONCO
MPL,ENSG00000117400,ONCO
MTOR,ENSG00000198793,ONCO
MUC16,ENSG00000181143,ONCO
MUC4,ENSG00000276613,ONCO
MUC4,ENSG00000273984,ONCO
MUC4,ENSG00000278468,ONCO
MUC4,ENSG00000277585,ONCO
MUC4,ENSG00000145113,ONCO
MUC4,ENSG00000278303,ONCO
MUC4,ENSG00000273822,ONCO
MUC4,ENSG00000275164,ONCO
MYCL,ENSG00000116990,ONCO
MYCN,ENSG00000134323,ONCO
MYD88,ENSG00000172936,ONCO
MYOD1,ENSG00000129152,ONCO
NRAS,ENSG00000213281,ONCO
NT5C2,ENSG00000076685,ONCO
PIK3CA,ENSG00000121879,ONCO
PIK3CB,ENSG00000051382,ONCO
PPM1D,ENSG00000170836,ONCO
PREX2,ENSG00000046889,ONCO
PRKACA,ENSG00000072062,ONCO
PRKACA,ENSG00000288516,ONCO
PTPN11,ENSG00000179295,ONCO
RAC1,ENSG00000136238,ONCO
REL,ENSG00000162924,ONCO
SALL4,ENSG00000101115,ONCO
SETDB1,ENSG00000143379,ONCO
SF3B1,ENSG00000115524,ONCO
SGK1,ENSG00000118515,ONCO
SIX1,ENSG00000126778,ONCO
SIX2,ENSG00000170577,ONCO
SKI,ENSG00000157933,ONCO
SMO,ENSG00000128602,ONCO
SOX2,ENSG00000181449,ONCO
SRC,ENSG00000197122,ONCO
SRSF2,ENSG00000161547,ONCO
STAT3,ENSG00000168610,ONCO
TMSB4X,ENSG00000205542,ONCO
TNC,ENSG00000041982,ONCO
TRRAP,ENSG00000196367,ONCO
TSHR,ENSG00000165409,ONCO
U2AF1,ENSG00000160201,ONCO
UBR5,ENSG00000104517,ONCO
USP8,ENSG00000138592,ONCO
WAS,ENSG00000015285,ONCO
XPO1,ENSG00000082898,ONCO
ZEB1,ENSG00000148516,ONCO
A1CF,ENSG00000148584,ONCO
ABL1,ENSG00000097007,ONCO
ABL2,ENSG00000143322,ONCO
ACKR3,ENSG00000144476,ONCO
ACVR1,ENSG00000115170,ONCO
AFDN,ENSG00000130396,ONCO
AFF4,ENSG00000072364,ONCO
AKT1,ENSG00000142208,ONCO
AKT2,ENSG00000105221,ONCO
AKT3,ENSG00000117020,ONCO
AKT3,ENSG00000275199,ONCO
ALK,ENSG00000171094,ONCO
